vocab.size = 25911
batch_acm 18899, loss 2.783, acc 0.443, nll 2.778, ppl 9.200, x_acm 755081, lr 0.000262, time 2
batch_acm 18999, loss 2.883, acc 0.427, nll 2.883, ppl 9.452, x_acm 759081, lr 0.000262, time 36
batch_acm 19099, loss 2.852, acc 0.432, nll 2.852, ppl 9.221, x_acm 763081, lr 0.000261, time 71
batch_acm 19199, loss 2.870, acc 0.431, nll 2.870, ppl 9.397, x_acm 767081, lr 0.000260, time 105
batch_acm 19299, loss 2.839, acc 0.434, nll 2.839, ppl 9.235, x_acm 771081, lr 0.000260, time 139
batch_acm 19399, loss 2.685, acc 0.450, nll 2.685, ppl 8.545, x_acm 775079, lr 0.000259, time 28
batch_acm 19499, loss 2.576, acc 0.464, nll 2.576, ppl 8.009, x_acm 779079, lr 0.000258, time 63
batch_acm 19599, loss 2.600, acc 0.464, nll 2.600, ppl 8.209, x_acm 783079, lr 0.000258, time 97
batch_acm 19699, loss 2.556, acc 0.469, nll 2.556, ppl 7.928, x_acm 787079, lr 0.000257, time 131
batch_acm 19799, loss 2.737, acc 0.445, nll 2.737, ppl 8.871, x_acm 791068, lr 0.000256, time 25
batch_acm 19899, loss 2.770, acc 0.442, nll 2.770, ppl 8.976, x_acm 795068, lr 0.000256, time 59
batch_acm 19999, loss 2.745, acc 0.445, nll 2.745, ppl 8.840, x_acm 799068, lr 0.000255, time 94
validating: label epoch-0-acm-19999, batch_acm 19999, acc 0.428346, nll 2.959499, ppl 9.291476
batch_acm 20099, loss 2.700, acc 0.451, nll 2.700, ppl 8.586, x_acm 803068, lr 0.000255, time 131
batch_acm 20199, loss 2.805, acc 0.437, nll 2.805, ppl 9.108, x_acm 807066, lr 0.000254, time 18
batch_acm 20299, loss 2.808, acc 0.436, nll 2.808, ppl 9.076, x_acm 811066, lr 0.000253, time 53
batch_acm 20399, loss 2.805, acc 0.437, nll 2.805, ppl 9.101, x_acm 815066, lr 0.000253, time 87
batch_acm 20499, loss 2.780, acc 0.441, nll 2.780, ppl 8.957, x_acm 819066, lr 0.000252, time 121
batch_acm 20599, loss 2.825, acc 0.434, nll 2.825, ppl 9.152, x_acm 823045, lr 0.000251, time 11
batch_acm 20699, loss 2.734, acc 0.447, nll 2.734, ppl 8.694, x_acm 827045, lr 0.000251, time 45
batch_acm 20799, loss 2.749, acc 0.446, nll 2.749, ppl 8.801, x_acm 831045, lr 0.000250, time 79
batch_acm 20899, loss 2.730, acc 0.448, nll 2.730, ppl 8.677, x_acm 835045, lr 0.000250, time 113
batch_acm 20999, loss 2.725, acc 0.450, nll 2.725, ppl 8.705, x_acm 839043, lr 0.000249, time 4
batch_acm 21099, loss 2.730, acc 0.447, nll 2.730, ppl 8.838, x_acm 843043, lr 0.000248, time 38
batch_acm 21199, loss 2.716, acc 0.448, nll 2.716, ppl 8.624, x_acm 847043, lr 0.000248, time 72
batch_acm 21299, loss 2.730, acc 0.448, nll 2.730, ppl 8.743, x_acm 851043, lr 0.000247, time 107
batch_acm 21399, loss 2.727, acc 0.449, nll 2.727, ppl 8.732, x_acm 855043, lr 0.000247, time 141
batch_acm 21499, loss 2.742, acc 0.442, nll 2.746, ppl 8.782, x_acm 859015, lr 0.000246, time 31
batch_acm 21599, loss 2.728, acc 0.444, nll 2.728, ppl 8.630, x_acm 863015, lr 0.000246, time 65
batch_acm 21699, loss 2.727, acc 0.445, nll 2.727, ppl 8.616, x_acm 867015, lr 0.000245, time 99
batch_acm 21799, loss 2.676, acc 0.450, nll 2.676, ppl 8.375, x_acm 871015, lr 0.000244, time 134
batch_acm 21899, loss 2.690, acc 0.450, nll 2.690, ppl 8.478, x_acm 875009, lr 0.000244, time 24
batch_acm 21999, loss 2.673, acc 0.452, nll 2.673, ppl 8.423, x_acm 879009, lr 0.000243, time 58
batch_acm 22099, loss 2.687, acc 0.451, nll 2.687, ppl 8.516, x_acm 883009, lr 0.000243, time 93
batch_acm 22199, loss 2.648, acc 0.456, nll 2.648, ppl 8.297, x_acm 887009, lr 0.000242, time 127
batch_acm 22299, loss 2.706, acc 0.449, nll 2.712, ppl 8.621, x_acm 890975, lr 0.000242, time 17
batch_acm 22399, loss 2.713, acc 0.451, nll 2.713, ppl 8.559, x_acm 894975, lr 0.000241, time 51
batch_acm 22499, loss 2.663, acc 0.457, nll 2.663, ppl 8.333, x_acm 898975, lr 0.000241, time 86
batch_acm 22599, loss 2.653, acc 0.459, nll 2.653, ppl 8.264, x_acm 902975, lr 0.000240, time 120
batch_acm 22699, loss 2.589, acc 0.466, nll 2.590, ppl 7.916, x_acm 906966, lr 0.000240, time 11
batch_acm 22799, loss 2.383, acc 0.495, nll 2.383, ppl 7.067, x_acm 910966, lr 0.000239, time 45
batch_acm 22899, loss 2.385, acc 0.496, nll 2.385, ppl 7.191, x_acm 914966, lr 0.000238, time 79
batch_acm 22999, loss 2.394, acc 0.496, nll 2.394, ppl 7.108, x_acm 918966, lr 0.000238, time 113
batch_acm 23099, loss 2.394, acc 0.495, nll 2.394, ppl 7.123, x_acm 922942, lr 0.000237, time 5
batch_acm 23199, loss 2.735, acc 0.449, nll 2.735, ppl 8.725, x_acm 926942, lr 0.000237, time 39
batch_acm 23299, loss 2.686, acc 0.456, nll 2.686, ppl 8.458, x_acm 930942, lr 0.000236, time 73
batch_acm 23399, loss 2.709, acc 0.455, nll 2.709, ppl 8.623, x_acm 934942, lr 0.000236, time 108
batch_acm 23499, loss 2.683, acc 0.457, nll 2.683, ppl 8.554, x_acm 938942, lr 0.000235, time 142
batch_acm 23599, loss 2.645, acc 0.461, nll 2.645, ppl 8.407, x_acm 942936, lr 0.000235, time 32
batch_acm 23699, loss 2.601, acc 0.467, nll 2.601, ppl 8.134, x_acm 946936, lr 0.000234, time 67
batch_acm 23799, loss 2.596, acc 0.467, nll 2.596, ppl 8.074, x_acm 950936, lr 0.000234, time 101
