vocab.size = 25911
batch_acm 22099, loss 2.989, acc 0.412, nll 2.989, ppl 10.382, x_acm 441759, lr 0.000243
batch_acm 22199, loss 2.907, acc 0.421, nll 2.907, ppl 10.044, x_acm 443759, lr 0.000242
batch_acm 22299, loss 2.960, acc 0.413, nll 2.960, ppl 10.328, x_acm 445759, lr 0.000242
batch_acm 22399, loss 2.919, acc 0.419, nll 2.919, ppl 9.997, x_acm 447759, lr 0.000241
batch_acm 22499, loss 2.945, acc 0.418, nll 2.945, ppl 10.287, x_acm 449759, lr 0.000241
batch_acm 22599, loss 2.894, acc 0.423, nll 2.894, ppl 9.897, x_acm 451759, lr 0.000240
batch_acm 22699, loss 2.845, acc 0.429, nll 2.845, ppl 9.522, x_acm 453752, lr 0.000240
batch_acm 22799, loss 2.798, acc 0.435, nll 2.798, ppl 9.618, x_acm 455752, lr 0.000239
batch_acm 22899, loss 2.799, acc 0.432, nll 2.799, ppl 9.479, x_acm 457752, lr 0.000238
batch_acm 22999, loss 2.727, acc 0.441, nll 2.727, ppl 8.963, x_acm 459752, lr 0.000238
batch_acm 23099, loss 2.752, acc 0.439, nll 2.752, ppl 9.177, x_acm 461752, lr 0.000237
batch_acm 23199, loss 2.736, acc 0.440, nll 2.736, ppl 9.011, x_acm 463752, lr 0.000237
batch_acm 23299, loss 2.686, acc 0.445, nll 2.686, ppl 8.679, x_acm 465752, lr 0.000236
batch_acm 23399, loss 2.725, acc 0.442, nll 2.725, ppl 8.978, x_acm 467752, lr 0.000236
batch_acm 23499, loss 2.795, acc 0.433, nll 2.797, ppl 9.365, x_acm 469744, lr 0.000235
batch_acm 23599, loss 2.673, acc 0.455, nll 2.673, ppl 8.957, x_acm 471744, lr 0.000235
batch_acm 23699, loss 2.643, acc 0.460, nll 2.643, ppl 8.872, x_acm 473744, lr 0.000234
batch_acm 23799, loss 2.658, acc 0.460, nll 2.658, ppl 8.948, x_acm 475744, lr 0.000234
batch_acm 23899, loss 2.657, acc 0.461, nll 2.657, ppl 8.966, x_acm 477744, lr 0.000233
batch_acm 23999, loss 2.642, acc 0.463, nll 2.642, ppl 8.900, x_acm 479744, lr 0.000233
batch_acm 24099, loss 2.623, acc 0.468, nll 2.623, ppl 8.978, x_acm 481744, lr 0.000232
batch_acm 24199, loss 2.618, acc 0.464, nll 2.618, ppl 8.825, x_acm 483744, lr 0.000232
batch_acm 24299, loss 2.638, acc 0.465, nll 2.638, ppl 8.802, x_acm 485744, lr 0.000231
